Ligand_inchi,Base_inchi,Solvent_inchi,Product_inchi,Electrophile_inchi,Nucleophile_inchi,Precatalyst_inchi,Base,Electrophile,Electrophile_PCI_Name,Ligand,Nucleophile,Nucleophile_PCI_Name,Precatalyst,Product,Solvent,Screen_ID,umol_Screen,Entry,Well,Row,Column,Base_Equiv,Electrophile_Equiv,Ligand_Equiv,Nucleophile_Equiv,Precatalyst_Equiv,Concentration,Time_h,Temp_C,SampleName,Vial,AP_ISO,AP_PDT,AP_STD,Mean_AP,Max_AP,SD_AP,Z_Score_AP,RelYield_PDT,Mean_RY,Max_RY,SD_RY,Z_Score_RY,Yield,Mean_Yield,Max_Yield,SD_Yield,Z_Score_Yield,Product_MW,Solvent_density,Solvent_mass,Product_mg,Base_Cost,Base_amt,Base_MW,Base_price.mol,Solvent_Cost,Solvent_amt,Solvent_MW,Solvent_price.mol,Ligand_Cost,Ligand_amt,Ligand_MW,Ligand_price.mol,Ligand_dol,Base_dol,Solvent_dol,reagent_cost,Nucleophile_MW,Electrophile_MW,Precatalyst_MW,Nucleophile_mg,Electrophile_mg,Precatalyst_mg,Ligand_mg,Base_mg,Total_mg,PMI
"InChI=1S/C35H53O2P/c1-23(2)26-21-29(24(3)4)33(30(22-26)25(5)6)34-31(36-7)19-20-32(37-8)35(34)38(27-15-11-9-12-16-27)28-17-13-10-14-18-28/h19-25,27-28H,9-18H2,1-8H3","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,BrettPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,49,49,E,1,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_49,"6:E,1",1.471,44.197,46.416,25.57645833,69.842,23.88074986,0.779730192,0.952193209,0.92339442,3.121430168,0.99739497,0.028874007,25.86,26.465,95.7,31.41693084,0.028806124,201.204,0.88,0.132,0.780470316,100,36.2,98.14,271.1049724,164,880,116.16,21.648,29.7,0.1,536.77,159420.69,2.2275e-5,0.0045,0.1863636363636364,0.1908859113636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.4025775,4.4163,143.561302191,183.94204013647587
"InChI=1S/C14H23P/c1-13(2,3)15(14(4,5)6)12-10-8-7-9-11-12/h7-11H,1-6H3","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,PPhtBu2,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,50,50,E,2,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_50,"6:E,2",0,0,85.977,25.57645833,69.842,23.88074986,-1.071007338,0,0.92339442,3.121430168,0.99739497,-0.925806173,0,26.465,95.7,31.41693084,-0.925774709,201.204,0.88,0.132,0,100,36.2,98.14,271.1049724,164,880,116.16,21.648,102,1,222.31,22675.62,7.65e-5,0.0045,0.1863636363636364,0.1909401363636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.1667325,4.4163,142.544986875,Inf
"InChI=1S/C26H33N2P/c1-26(2,3)29(20-14-9-8-10-15-20)24-19-12-11-16-21(24)25-22(27(4)5)17-13-18-23(25)28(6)7/h8-19H,1-7H3","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,tBPh-CPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,51,51,E,3,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_51,"6:E,3",12.638,0,63.726,25.57645833,69.842,23.88074986,-1.071007338,0,0.92339442,3.121430168,0.99739497,-0.925806173,0,26.465,95.7,31.41693084,-0.925774709,201.204,0.88,0.132,0,100,36.2,98.14,271.1049724,164,880,116.16,21.648,200,0.25,404.53,323624,1.5000000000000001e-4,0.0045,0.1863636363636364,0.1910136363636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.3033975,4.4163,142.681651875,Inf
"InChI=1S/C18H33P.BF4/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;2-1(3,4)5/h16-18H,1-15H2;/q;-1/p+1","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,PCy3 HBF4,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,52,52,E,4,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_52,"6:E,4",1.514,3.192,75.167,25.57645833,69.842,23.88074986,-0.937343193,0.042465444,0.92339442,3.121430168,0.99739497,-0.883229816,0,26.465,95.7,31.41693084,-0.883122548,201.204,0.88,0.132,0,100,36.2,98.14,271.1049724,164,880,116.16,21.648,108,5,368.24,7953.984,8.1e-5,0.0045,0.1863636363636364,0.1909446363636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.27618,4.4163,142.65443437500002,Inf
InChI=1S/C18H15P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H,"InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,PPh3,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,53,53,E,5,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_53,"6:E,5",8.173,18.875,57.382,25.57645833,69.842,23.88074986,-0.280621772,0.328935903,0.92339442,3.121430168,0.99739497,-0.596011144,7.89,26.465,95.7,31.41693084,-0.596016209,201.204,0.88,0.132,0.23812493399999998,100,36.2,98.14,271.1049724,164,880,116.16,21.648,49.6,100,262.29,130.09584,3.72e-5,0.0045,0.1863636363636364,0.1909008363636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.19671750000000002,4.4163,142.81309680900003,599.74020532012
"InChI=1S/C33H49P/c1-23(2)26-21-30(24(3)4)33(31(22-26)25(5)6)29-19-13-14-20-32(29)34(27-15-9-7-10-16-27)28-17-11-8-12-18-28/h13-14,19-25,27-28H,7-12,15-18H2,1-6H3","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,X-Phos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,54,54,E,6,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_54,"6:E,6",5.223,59.03,22.604,25.57645833,69.842,23.88074986,1.400858091,2.611484693,0.92339442,3.121430168,0.99739497,1.692499284,73.71,26.465,95.7,31.41693084,1.692558712,201.204,0.88,0.132,2.224612026,100,36.2,98.14,271.1049724,164,880,116.16,21.648,580,25,476.72,11059.904,4.35e-4,0.0045,0.1863636363636364,0.1912986363636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.35754,4.4163,144.960406401,65.1621067884131
"InChI=1S/C35H53O2P/c1-23(2)26-21-29(24(3)4)33(30(22-26)25(5)6)34-31(36-7)19-20-32(37-8)35(34)38(27-15-11-9-12-16-27)28-17-13-10-14-18-28/h19-25,27-28H,9-18H2,1-8H3","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,BrettPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,55,55,E,7,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_55,"6:E,7",1.189,55.239,35.577,25.57645833,69.842,23.88074986,1.242110982,1.552660427,0.92339442,3.121430168,0.99739497,0.630909545,43.18,26.465,95.7,31.41693084,0.631029177,201.204,0.88,0.132,1.303198308,44,25,140.22,246.7872,164,880,116.16,21.648,29.7,0.1,536.77,159420.69,2.2275e-5,0.00198,0.1863636363636364,0.1883659113636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.4025775,6.309900000000001,145.977630183,112.01490155940257
"InChI=1S/C14H23P/c1-13(2,3)15(14(4,5)6)12-10-8-7-9-11-12/h7-11H,1-6H3","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,PPhtBu2,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,56,56,E,8,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_56,"6:E,8",0,0,84.899,25.57645833,69.842,23.88074986,-1.071007338,0,0.92339442,3.121430168,0.99739497,-0.925806173,0,26.465,95.7,31.41693084,-0.925774709,201.204,0.88,0.132,0,44,25,140.22,246.7872,164,880,116.16,21.648,102,1,222.31,22675.62,7.65e-5,0.00198,0.1863636363636364,0.18842013636363641,107.116,175,365.85,3.21348,2.625,0.123474375,0.1667325,6.309900000000001,144.438586875,Inf
"InChI=1S/C26H33N2P/c1-26(2,3)29(20-14-9-8-10-15-20)24-19-12-11-16-21(24)25-22(27(4)5)17-13-18-23(25)28(6)7/h8-19H,1-7H3","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,tBPh-CPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,57,57,E,9,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_57,"6:E,9",36.248,1.009,47.762,25.57645833,69.842,23.88074986,-1.028755733,0.021125581,0.92339442,3.121430168,0.99739497,-0.904625415,0,26.465,95.7,31.41693084,-0.904766928,201.204,0.88,0.132,0,44,25,140.22,246.7872,164,880,116.16,21.648,200,0.25,404.53,323624,1.5000000000000001e-4,0.00198,0.1863636363636364,0.18849363636363642,107.116,175,365.85,3.21348,2.625,0.123474375,0.3033975,6.309900000000001,144.575251875,Inf
"InChI=1S/C18H33P.BF4/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;2-1(3,4)5/h16-18H,1-15H2;/q;-1/p+1","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,PCy3 HBF4,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,58,58,E,10,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_58,"6:E,10",5.322,2.499,74.91,25.57645833,69.842,23.88074986,-0.966362382,0.033360032,0.92339442,3.121430168,0.99739497,-0.89235901,0,26.465,95.7,31.41693084,-0.892353239,201.204,0.88,0.132,0,44,25,140.22,246.7872,164,880,116.16,21.648,108,5,368.24,7953.984,8.1e-5,0.00198,0.1863636363636364,0.1884246363636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.27618,6.309900000000001,144.54803437500001,Inf
InChI=1S/C18H15P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H,"InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,PPh3,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,59,59,E,11,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_59,"6:E,11",10.057,10.701,53.028,25.57645833,69.842,23.88074986,-0.622905831,0.20179905,0.92339442,3.121430168,0.99739497,-0.723480058,4.23,26.465,95.7,31.41693084,-0.723336093,201.204,0.88,0.132,0.127663938,44,25,140.22,246.7872,164,880,116.16,21.648,49.6,100,262.29,130.09584,3.72e-5,0.00198,0.1863636363636364,0.1883808363636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.19671750000000002,6.309900000000001,144.59623581300002,1132.6317993809655
"InChI=1S/C33H49P/c1-23(2)26-21-30(24(3)4)33(31(22-26)25(5)6)29-19-13-14-20-32(29)34(27-15-9-7-10-16-27)28-17-11-8-12-18-28/h13-14,19-25,27-28H,7-12,15-18H2,1-6H3","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,X-Phos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,60,60,E,12,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_60,"6:E,12",5.613,58.178,24.641,25.57645833,69.842,23.88074986,1.365180819,2.361024309,0.92339442,3.121430168,0.99739497,1.441384739,66.49,26.465,95.7,31.41693084,1.44142024,201.204,0.88,0.132,2.0067080939999995,44,25,140.22,246.7872,164,880,116.16,21.648,580,25,476.72,11059.904,4.35e-4,0.00198,0.1863636363636364,0.1887786363636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.35754,6.309900000000001,146.636102469,73.07296108857976
"InChI=1S/C35H53O2P/c1-23(2)26-21-29(24(3)4)33(30(22-26)25(5)6)34-31(36-7)19-20-32(37-8)35(34)38(27-15-11-9-12-16-27)28-17-13-10-14-18-28/h19-25,27-28H,9-18H2,1-8H3","InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,BrettPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,61,61,F,1,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_61,"6:F,1",1.544,50.645,38.937,25.57645833,69.842,23.88074986,1.049738463,1.30069086,0.92339442,3.121430168,0.99739497,0.378281875,35.91,26.465,95.7,31.41693084,0.378299206,201.204,0.88,0.132,1.083785346,167,25,191.95,1282.226,164,880,116.16,21.648,29.7,0.1,536.77,159420.69,2.2275e-5,0.007514999999999999,0.1863636363636364,0.19390091136363638,107.116,175,365.85,3.21348,2.625,0.123474375,0.4025775,8.63775,148.08606722100004,136.63782018049176
"InChI=1S/C14H23P/c1-13(2,3)15(14(4,5)6)12-10-8-7-9-11-12/h7-11H,1-6H3","InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,PPhtBu2,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,62,62,F,2,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_62,"6:F,2",0,0,85.636,25.57645833,69.842,23.88074986,-1.071007338,0,0.92339442,3.121430168,0.99739497,-0.925806173,0,26.465,95.7,31.41693084,-0.925774709,201.204,0.88,0.132,0,167,25,191.95,1282.226,164,880,116.16,21.648,102,1,222.31,22675.62,7.65e-5,0.007514999999999999,0.1863636363636364,0.1939551363636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.1667325,8.63775,146.766436875,Inf
"InChI=1S/C26H33N2P/c1-26(2,3)29(20-14-9-8-10-15-20)24-19-12-11-16-21(24)25-22(27(4)5)17-13-18-23(25)28(6)7/h8-19H,1-7H3","InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,tBPh-CPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,63,63,F,3,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_63,"6:F,3",20.662,0,59.351,25.57645833,69.842,23.88074986,-1.071007338,0,0.92339442,3.121430168,0.99739497,-0.925806173,0,26.465,95.7,31.41693084,-0.925774709,201.204,0.88,0.132,0,167,25,191.95,1282.226,164,880,116.16,21.648,200,0.25,404.53,323624,1.5000000000000001e-4,0.007514999999999999,0.1863636363636364,0.1940286363636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.3033975,8.63775,146.903101875,Inf
"InChI=1S/C18H33P.BF4/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;2-1(3,4)5/h16-18H,1-15H2;/q;-1/p+1","InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,PCy3 HBF4,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,64,64,F,4,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_64,"6:F,4",1.896,4.08,72.684,25.57645833,69.842,23.88074986,-0.900158431,0.056133399,0.92339442,3.121430168,0.99739497,-0.869526162,0.03,26.465,95.7,31.41693084,-0.86943566,201.204,0.88,0.132,9.05418e-4,167,25,191.95,1282.226,164,880,116.16,21.648,108,5,368.24,7953.984,8.1e-5,0.007514999999999999,0.1863636363636364,0.1939596363636364,107.116,175,365.85,3.21348,2.625,0.123474375,0.27618,8.63775,146.87678979300003,162219.86948900955
InChI=1S/C18H15P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H,"InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,PPh3,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,BuOAc,ReqID_A24A8_090_003,15,65,65,F,5,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_65,"6:F,5",7.806,13.411,59.179,25.57645833,69.842,23.88074986,-0.509425307,0.22661755,0.92339442,3.121430168,0.99739497,-0.698596735,4.94,26.465,95.7,31.41693084,-0.698508715,201.204,0.88,0.132,0.14909216400000003,167,25,191.95,1282.226,164,880,116.16,21.648,49.6,100,262.29,130.09584,3.72e-5,0.007514999999999999,0.1863636363636364,0.19391583636363638,107.116,175,365.85,3.21348,2.625,0.123474375,0.19671750000000002,8.63775,146.94551403900002,985.6018592566675
