Ligand_inchi,Base_inchi,Solvent_inchi,Product_inchi,Electrophile_inchi,Nucleophile_inchi,Precatalyst_inchi,Base,Electrophile,Electrophile_PCI_Name,Ligand,Nucleophile,Nucleophile_PCI_Name,Precatalyst,Product,Solvent,Screen_ID,umol_Screen,Entry,Well,Row,Column,Base_Equiv,Electrophile_Equiv,Ligand_Equiv,Nucleophile_Equiv,Precatalyst_Equiv,Concentration,Time_h,Temp_C,SampleName,Vial,AP_ISO,AP_PDT,AP_STD,Mean_AP,Max_AP,SD_AP,Z_Score_AP,RelYield_PDT,Mean_RY,Max_RY,SD_RY,Z_Score_RY,Yield,Mean_Yield,Max_Yield,SD_Yield,Z_Score_Yield,Product_MW,Solvent_density,Solvent_mass,Product_mg,Base_Cost,Base_amt,Base_MW,Base_price.mol,Solvent_Cost,Solvent_amt,Solvent_MW,Solvent_price.mol,Ligand_Cost,Ligand_amt,Ligand_MW,Ligand_price.mol,Ligand_dol,Base_dol,Solvent_dol,reagent_cost,Nucleophile_MW,Electrophile_MW,Precatalyst_MW,Nucleophile_mg,Electrophile_mg,Precatalyst_mg,Ligand_mg,Base_mg,Total_mg,PMI,solvent mg,ligand_dol_will,base_dol_will,solvent_dol_will,total_cost_update
"InChI=1S/C14H23P/c1-13(2,3)15(14(4,5)6)12-10-8-7-9-11-12/h7-11H,1-6H3","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,PPhtBu2,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,80,80,G,8,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_80,"6:G,8",0,0,19.828,25.57645833,69.842,23.88074986,-1.071007338,0,0.92339442,3.121430168,0.99739497,-0.925806173,0,26.465,95.7,31.41693084,-0.925774709,201.204,0.86,0.129,0,44,25,140.22,246.7872,312,2580,106.16,12.83795349,102,1,222.31,22675.62,7.65E-05,0.00198,0.379125848,0.381182348,107.116,175,365.85,3.21348,2.625,0.123474375,0.1667325,6.3099,141.4385869,Inf,134.9619544,0.017006715,0.011105424,0.016320981,0.04443312
"InChI=1S/C26H33N2P/c1-26(2,3)29(20-14-9-8-10-15-20)24-19-12-11-16-21(24)25-22(27(4)5)17-13-18-23(25)28(6)7/h8-19H,1-7H3","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,tBPh-CPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,81,81,G,9,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_81,"6:G,9",0.41,13.145,16.874,25.57645833,69.842,23.88074986,-0.520563986,0.779009126,0.92339442,3.121430168,0.99739497,-0.144762404,20.87,26.465,95.7,31.41693084,-0.144667219,201.204,0.86,0.129,0.629869122,44,25,140.22,246.7872,312,2580,106.16,12.83795349,200,0.25,404.53,323624,1.50E-04,0.00198,0.379125848,0.381255848,107.116,175,365.85,3.21348,2.625,0.123474375,0.3033975,6.3099,142.205121,225.7693162,135.5918235,0.242718,0.011105424,0.016397151,0.270220575
"InChI=1S/C18H33P.BF4/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;2-1(3,4)5/h16-18H,1-15H2;/q;-1/p+1","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,PCy3 HBF4,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,82,82,G,10,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_82,"6:G,10",0.694,1.065,19.369,25.57645833,69.842,23.88074986,-1.026410748,0.054984769,0.92339442,3.121430168,0.99739497,-0.870677792,0,26.465,95.7,31.41693084,-0.870708859,201.204,0.86,0.129,0,44,25,140.22,246.7872,312,2580,106.16,12.83795349,108,5,368.24,7953.984,8.10E-05,0.00198,0.379125848,0.381186848,107.116,175,365.85,3.21348,2.625,0.123474375,0.27618,6.3099,141.5480344,Inf,134.9619544,0.005965488,0.011105424,0.016320981,0.033391893
InChI=1S/C18H15P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H,"InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,PPh3,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,83,83,G,11,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_83,"6:G,11",8.389,3.561,16.919,25.57645833,69.842,23.88074986,-0.921891417,0.210473432,0.92339442,3.121430168,0.99739497,-0.714783019,4.48,26.465,95.7,31.41693084,-0.714742001,201.204,0.86,0.129,0.135209088,44,25,140.22,246.7872,312,2580,106.16,12.83795349,49.6,100,262.29,130.09584,3.72E-05,0.00198,0.379125848,0.381143048,107.116,175,365.85,3.21348,2.625,0.123474375,0.1967175,6.3099,141.603781,1047.294846,135.0971635,9.76E-05,0.011105424,0.016337331,0.027540327
"InChI=1S/C33H49P/c1-23(2)26-21-30(24(3)4)33(31(22-26)25(5)6)29-19-13-14-20-32(29)34(27-15-9-7-10-16-27)28-17-11-8-12-18-28/h13-14,19-25,27-28H,7-12,15-18H2,1-6H3","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,X-Phos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,84,84,G,12,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_84,"6:G,12",4.689,22.808,14.194,25.57645833,69.842,23.88074986,-0.115928451,1.606876145,0.92339442,3.121430168,0.99739497,0.685266865,44.74,26.465,95.7,31.41693084,0.685140128,201.204,0.86,0.129,1.350280044,44,25,140.22,246.7872,312,2580,106.16,12.83795349,580,25,476.72,11059.904,4.35E-04,0.00198,0.379125848,0.381540848,107.116,175,365.85,3.21348,2.625,0.123474375,0.35754,6.3099,142.9796744,105.8889043,136.3122344,0.008294928,0.011105424,0.01648427,0.035884622
"InChI=1S/C35H53O2P/c1-23(2)26-21-29(24(3)4)33(30(22-26)25(5)6)34-31(36-7)19-20-32(37-8)35(34)38(27-15-11-9-12-16-27)28-17-13-10-14-18-28/h19-25,27-28H,9-18H2,1-8H3","InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,BrettPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,85,85,H,1,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_85,"6:H,1",0.866,16.953,16.015,25.57645833,69.842,23.88074986,-0.361105006,1.058570091,0.92339442,3.121430168,0.99739497,0.135528727,28.93,26.465,95.7,31.41693084,0.135436527,201.204,0.86,0.129,0.873124758,167,25,191.95,1282.226,312,2580,106.16,12.83795349,29.7,0.1,536.77,159420.69,2.23E-05,0.007515,0.379125848,0.386663123,107.116,175,365.85,3.21348,2.625,0.123474375,0.4025775,8.63775,144.8754066,165.9274981,135.8350791,0.119565518,0.05770017,0.016426568,0.193692255
"InChI=1S/C14H23P/c1-13(2,3)15(14(4,5)6)12-10-8-7-9-11-12/h7-11H,1-6H3","InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,PPhtBu2,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,86,86,H,2,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_86,"6:H,2",0,0,19.497,25.57645833,69.842,23.88074986,-1.071007338,0,0.92339442,3.121430168,0.99739497,-0.925806173,0,26.465,95.7,31.41693084,-0.925774709,201.204,0.86,0.129,0,167,25,191.95,1282.226,312,2580,106.16,12.83795349,102,1,222.31,22675.62,7.65E-05,0.007515,0.379125848,0.386717348,107.116,175,365.85,3.21348,2.625,0.123474375,0.1667325,8.63775,143.7664369,Inf,134.9619544,0.017006715,0.05770017,0.016320981,0.091027866
"InChI=1S/C26H33N2P/c1-26(2,3)29(20-14-9-8-10-15-20)24-19-12-11-16-21(24)25-22(27(4)5)17-13-18-23(25)28(6)7/h8-19H,1-7H3","InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,tBPh-CPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,87,87,H,3,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_87,"6:H,3",0.223,10.424,16.998,25.57645833,69.842,23.88074986,-0.634505132,0.613248617,0.92339442,3.121430168,0.99739497,-0.310955852,16.09,26.465,95.7,31.41693084,-0.310819668,201.204,0.86,0.129,0.485605854,167,25,191.95,1282.226,312,2580,106.16,12.83795349,200,0.25,404.53,323624,1.50E-04,0.007515,0.379125848,0.386790848,107.116,175,365.85,3.21348,2.625,0.123474375,0.3033975,8.63775,144.3887077,297.3372469,135.4475602,0.242718,0.05770017,0.016379705,0.316797875
"InChI=1S/C18H33P.BF4/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;2-1(3,4)5/h16-18H,1-15H2;/q;-1/p+1","InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,PCy3 HBF4,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,88,88,H,4,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_88,"6:H,4",1.568,2.932,18.506,25.57645833,69.842,23.88074986,-0.948230623,0.158435102,0.92339442,3.121430168,0.99739497,-0.766957264,2.98,26.465,95.7,31.41693084,-0.766943153,201.204,0.86,0.129,0.089938188,167,25,191.95,1282.226,312,2580,106.16,12.83795349,108,5,368.24,7953.984,8.10E-05,0.007515,0.379125848,0.386721848,107.116,175,365.85,3.21348,2.625,0.123474375,0.27618,8.63775,143.9658226,1600.719625,135.0518926,0.005965488,0.05770017,0.016331857,0.079997515
InChI=1S/C18H15P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H,"InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,PPh3,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,89,89,H,5,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_89,"6:H,5",4.375,10.386,16.429,25.57645833,69.842,23.88074986,-0.636096371,0.632174813,0.92339442,3.121430168,0.99739497,-0.291980224,16.64,26.465,95.7,31.41693084,-0.292039985,201.204,0.86,0.129,0.502205184,167,25,191.95,1282.226,312,2580,106.16,12.83795349,49.6,100,262.29,130.09584,3.72E-05,0.007515,0.379125848,0.386678048,107.116,175,365.85,3.21348,2.625,0.123474375,0.1967175,8.63775,144.2986271,287.330023,135.4641596,9.76E-05,0.05770017,0.016381712,0.074179454
"InChI=1S/C33H49P/c1-23(2)26-21-30(24(3)4)33(31(22-26)25(5)6)29-19-13-14-20-32(29)34(27-15-9-7-10-16-27)28-17-11-8-12-18-28/h13-14,19-25,27-28H,7-12,15-18H2,1-6H3","InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,X-Phos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,90,90,H,6,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_90,"6:H,6",4.174,29.152,12.225,25.57645833,69.842,23.88074986,0.149724849,2.384621677,0.92339442,3.121430168,0.99739497,1.465043739,67.17,26.465,95.7,31.41693084,1.464974419,201.204,0.86,0.129,2.027230902,167,25,191.95,1282.226,312,2580,106.16,12.83795349,580,25,476.72,11059.904,4.35E-04,0.007515,0.379125848,0.387075848,107.116,175,365.85,3.21348,2.625,0.123474375,0.35754,8.63775,145.9844753,72.01176498,136.9891853,0.008294928,0.05770017,0.016566134,0.082561232
"InChI=1S/C35H53O2P/c1-23(2)26-21-29(24(3)4)33(30(22-26)25(5)6)34-31(36-7)19-20-32(37-8)35(34)38(27-15-11-9-12-16-27)28-17-13-10-14-18-28/h19-25,27-28H,9-18H2,1-8H3","InChI=1S/C5H10O2.Cs/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOPiv,1-Bromo-2-fluorobenzene,7,BrettPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,91,91,H,7,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_91,"6:H,7",0.657,16.179,17.318,25.57645833,69.842,23.88074986,-0.393516049,0.934230281,0.92339442,3.121430168,0.99739497,0.010864162,25.35,26.465,95.7,31.41693084,0.01098134,201.204,0.86,0.129,0.76507821,234,25,234.03,2190.5208,312,2580,106.16,12.83795349,29.7,0.1,536.77,159420.69,2.23E-05,0.01053,0.379125848,0.389678123,107.116,175,365.85,3.21348,2.625,0.123474375,0.4025775,10.53135,146.6609601,191.6940754,135.7270326,0.119565518,0.098573436,0.016413502,0.234552455
"InChI=1S/C14H23P/c1-13(2,3)15(14(4,5)6)12-10-8-7-9-11-12/h7-11H,1-6H3","InChI=1S/C5H10O2.Cs/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOPiv,1-Bromo-2-fluorobenzene,7,PPhtBu2,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,92,92,H,8,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_92,"6:H,8",0,0,33.398,25.57645833,69.842,23.88074986,-1.071007338,0,0.92339442,3.121430168,0.99739497,-0.925806173,0,26.465,95.7,31.41693084,-0.925774709,201.204,0.86,0.129,0,234,25,234.03,2190.5208,312,2580,106.16,12.83795349,102,1,222.31,22675.62,7.65E-05,0.01053,0.379125848,0.389732348,107.116,175,365.85,3.21348,2.625,0.123474375,0.1667325,10.53135,145.6600369,Inf,134.9619544,0.017006715,0.098573436,0.016320981,0.131901132
"InChI=1S/C26H33N2P/c1-26(2,3)29(20-14-9-8-10-15-20)24-19-12-11-16-21(24)25-22(27(4)5)17-13-18-23(25)28(6)7/h8-19H,1-7H3","InChI=1S/C5H10O2.Cs/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOPiv,1-Bromo-2-fluorobenzene,7,tBPh-CPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,93,93,H,9,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_93,"6:H,9",0.432,14.903,16.942,25.57645833,69.842,23.88074986,-0.446948207,0.879648212,0.92339442,3.121430168,0.99739497,-0.043860466,23.77,26.465,95.7,31.41693084,-0.04376621,201.204,0.86,0.129,0.717392862,234,25,234.03,2190.5208,312,2580,106.16,12.83795349,200,0.25,404.53,323624,1.50E-04,0.01053,0.379125848,0.389805848,107.116,175,365.85,3.21348,2.625,0.123474375,0.3033975,10.53135,146.5140947,204.231325,135.6793472,0.242718,0.098573436,0.016407735,0.357699171
"InChI=1S/C18H33P.BF4/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;2-1(3,4)5/h16-18H,1-15H2;/q;-1/p+1","InChI=1S/C5H10O2.Cs/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOPiv,1-Bromo-2-fluorobenzene,7,PCy3 HBF4,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,94,94,H,10,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_94,"6:H,10",0.935,1.519,19.234,25.57645833,69.842,23.88074986,-1.00739962,0.078974732,0.92339442,3.121430168,0.99739497,-0.846625172,0.69,26.465,95.7,31.41693084,-0.846518081,201.204,0.86,0.129,0.020824614,234,25,234.03,2190.5208,312,2580,106.16,12.83795349,108,5,368.24,7953.984,8.10E-05,0.01053,0.379125848,0.389736848,107.116,175,365.85,3.21348,2.625,0.123474375,0.27618,10.53135,145.790309,7000.864889,134.982779,0.005965488,0.098573436,0.016323499,0.120862423
InChI=1S/C18H15P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H,"InChI=1S/C5H10O2.Cs/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOPiv,1-Bromo-2-fluorobenzene,7,PPh3,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_003,15,95,95,H,11,3,1,0.05,2,0.0225,0.1,24,120,A24A8_090_003_95,"6:H,11",9.146,2.462,16.589,25.57645833,69.842,23.88074986,-0.967911748,0.148411598,0.92339442,3.121430168,0.99739497,-0.777006948,2.69,26.465,95.7,31.41693084,-0.777128744,201.204,0.86,0.129,0.081185814,234,25,234.03,2190.5208,312,2580,106.16,12.83795349,49.6,100,262.29,130.09584,3.72E-05,0.01053,0.379125848,0.389693048,107.116,175,365.85,3.21348,2.625,0.123474375,0.1967175,10.53135,145.7712077,1795.525604,135.0431402,9.76E-05,0.098573436,0.016330798,0.115001806
